,kita_name,kita_address,kita_spots,plz
203,kita mäuseburg,"21029 Hamburg, Wentorfer Straße 66",24,21029
204,kindertagesstätte schulenbrook,"21029 Hamburg, Justus-Brinkmann-Straße 62",34,21029
205,kita habermannstraße,"21031 Hamburg, Habermannstraße 11",0,21031
206,kita harnackring,"21031 Hamburg, Harnackring 64 b",0,21031
207,kita kurt-adams-platz,"21031 Hamburg, Kurt-Adams-Platz 3",0,21031
208,kita mendelstraße,"21031 Hamburg, Mendelstraße 39 a",44,21031
209,kita schulenburgring,"21031 Hamburg, Schulenburgring 156",0,21031
210,kita wackelzahn,"21031 Hamburg, Bornbrook 15",90,21031
211,kita `das spielnetz´,"21031 Hamburg, Bockhorster Weg 3",0,21031
212,spielhaus kurt-adams-platz,"21031 Hamburg, Kurt-Adams-Platz 7",0,21031
213,spielhaus lohbrügger landstraße,"21031 Hamburg, Lohbrügger Landstraße 55",0,21031
214,kindertagesstätte `regenbogen´,"21031 Hamburg, Röpraredder 70",130,21031
215,kindertagesstätte `leuchtkäfer´,"21031 Hamburg, Ludwig-Rosenberg-Ring 45",64,21031
216,awo kita billwerder straße,"21033 Hamburg, Billwerder Straße 39 a",44,21033
217,kita friedrich-frank-bogen,"21033 Hamburg, Friedrich-Frank-Bogen 29",0,21033
218,kita lohbrügger kirchstraße,"21033 Hamburg, Lohbrügger Kirchstraße 15",0,21033
219,kita weidemoor,"21033 Hamburg, Weidemoor 1",0,21033
220,spielhaus friedrich-frank-bogen,"21033 Hamburg, Friedrich-Frank-Bogen 25a",0,21033
221,kita löwenzahn am unfallkrankenhaus hamburg,"21033 Hamburg, Bergedorfer Straße 10",75,21033
222,sportini bille kinder (sport- und bewegungskindertagesstätte),"21033 Hamburg, Mittlerer Landweg 48",0,21033
223,frosch-kita billwerder - haus gelb,"21033 Hamburg, Am Gleisdreieck 19 a",75,21033
224,frosch-kita billwerder haus rot,"21033 Hamburg, Am Gleisdreieck 4 a",50,21033
225,awo kita johanna-kirchner-haus,"21035 Hamburg, Fanny-Lewald-Ring 130 a",120,21035
226,awo kita von-halem-straße,"21035 Hamburg, Von-Halem-Straße 19",150,21035
227,kita henriette-herz-ring,"21035 Hamburg, Henriette-Herz-Ring 41",0,21035
228,kita wiesnerring,"21035 Hamburg, Wiesnerring 35",0,21035
229,ev. kindertagesstätte neu-allermöhe e.v.,"21035 Hamburg, Marta-Damkowski-Kehre 1",0,21035
230,ev. kita bugenhagen,"21035 Hamburg, Nettelnburger Kirchenweg 4",57,21035
231,katholische kindertagesstätte edith stein,"21035 Hamburg, Edith-Stein-Platz 1",140,21035
232,kinderland  `haus am fleet´,"21035 Hamburg, Margit-Zinke-Straße 1",0,21035
233,spielhaus `kiebitz´ neu-allermöhe-west,"21035 Hamburg, Konrad-Veix-Stieg 3b",0,21035
234,spielhaus neu-allermöhe,"21035 Hamburg, Marta-Damkowski-Kehre 25",0,21035
235,kindertagesstätte  wirbelkinder,"21035 Hamburg, Rungedamm 7",130,21035
236,kindergarten zauberkasten,"21035 Hamburg, Otto-Grot-Straße 78 a",0,21035
237,kindertagesstätte `kinderhaus springmaus´,"21035 Hamburg, Wilhelmine-Hundert-Weg 2-6",210,21035
238,kita schmusebacke - kita allermöhe,"21035 Hamburg, Fleetplatz 7",65,21035
239,kita schmusebacke - kita nettelnburg,"21035 Hamburg, Edith-Stein-Platz 2",65,21035
240,kinderzimmer glasbläserhöfe,"21035 Hamburg, Weidenbaumsweg 91a",0,21035
241,kindertagesstätte 'fleetkinder',"21035 Hamburg, Walter-Rothenburg-Weg 39",152,21035
242,elkes 7 zwerge kindertagesstätte 1,"21037 Hamburg, Kirchwerder Elbdeich 126",0,21037
243,waldorfkindergarten bergedorf - kirchwerder,"21037 Hamburg, Kirchwerder Landweg 2",22,21037
