,kita_name,kita_address,kita_spots
93,ev. kindergarten und krippe der apostelkirche,"20257 Hamburg, Schwenckestraße 5",36
94,spielhaus eimsbütteler marktplatz,"20257 Hamburg, Eimsbütteler Marktplatz 1c","<a href=""../hamburg/20257/stenvort2.php"" target=""_blank"" title=""Kita ansehen""><b>kinderhaus stenvort</b></a>"
95,kinderhaus stenvort,"20257 Hamburg, Stenvort 2",60
96,krippe minimeter,"20257 Hamburg, Langenfelder Damm 41",18
97,kita in der schule eduardstraße,"20257 Hamburg, Eduardstraße 28","<a href=""../hamburg/20257/lappenbergsallee8.php"" target=""_blank"" title=""Kita ansehen""><b>kinderhaus fledermaus</b></a>"
98,kinderhaus fledermaus,"20257 Hamburg, Lappenbergsallee 8",40
99,kinderladen prickelkids,"20257 Hamburg, Bei der Apostelkirche 12",25
100,kinderladen regenbogenkinder,"20257 Hamburg, Pinneberger Weg 25","<a href=""../hamburg/20257/beiderapostelkirche4.php"" target=""_blank"" title=""Kita ansehen""><b>kinderladen vierjahreszeiten</b></a>"
101,kinderladen vierjahreszeiten,"20257 Hamburg, Bei der Apostelkirche 4",15
102,kita pünktchens tintenklecks (eimsbütteler marktplatz),"20257 Hamburg, Eimsbütteler Marktplatz 38","<a href=""../hamburg/20257/langenfelder_damm12.php"" target=""_blank"" title=""Kita ansehen""><b>kita lokomotive</b></a>"
103,kita lokomotive,"20257 Hamburg, Langenfelder Damm 12",zweisprachig deutsch- spanisch
104,kita emilienstraße,"20259 Hamburg, Emilienstraße 71","<a href=""../hamburg/20259/kaiser-friedrich-ufer5.php"" target=""_blank"" title=""Kita ansehen""><b>kita kaiser-friedrich-ufer</b></a>"
105,kita kaiser-friedrich-ufer,"20259 Hamburg, Kaiser-Friedrich-Ufer 5","<a href=""../hamburg/20259/tornquiststrasse19c.php"" target=""_blank"" title=""Kita ansehen""><b>kita tornquiststraße</b></a>"
106,kita tornquiststraße,"20259 Hamburg, Tornquiststraße 19 c","<a href=""../hamburg/20259/eimsbuettelerchaussee24.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesheim christuskirche</b></a>"
107,kindertagesheim christuskirche,"20259 Hamburg, Eimsbütteler Chaussee 24",77
108,wurzelkinder e.v.,"20259 Hamburg, Eimsbütteler Chaussee 28",34
109,spielhaus wehbers park,"20259 Hamburg, Emilienstraße 55",0
110,lek sä in i norden (die skandinavische kita in hamburg),"20259 Hamburg, Eimsbütteler Chaussee 86","<a href=""../hamburg/20259/doormannsweg4143.php"" target=""_blank"" title=""Kita ansehen""><b>deutsch-chinesischer kindergarten hamburg</b></a>"
111,deutsch-chinesischer kindergarten hamburg,"20259 Hamburg, Doormannsweg 41-43",55
112,kita `die halben meter´,"20259 Hamburg, Henriettenweg 5-7",50
113,krippe minimeter 2,"20259 Hamburg, Fruchtallee 124a",24
114,kita früchtchen,"20259 Hamburg, Fruchtallee 121",50
115,kinderladen belle 66 e.v.,"20259 Hamburg, Bellealliancestraße  66",24
116,kinderhaus tornquiststraße,"20259 Hamburg, Tornquiststraße 22","<a href=""../hamburg/20259/eppendorferweg121.php"" target=""_blank"" title=""Kita ansehen""><b>kinderladen 100 blumen</b></a>"
117,kinderladen 100 blumen,"20259 Hamburg, Eppendorfer Weg 121",20
118,kinderladen tobekatzen,"20259 Hamburg, Weidenstieg 17",25
119,kindervilla fruchtallee,"20259 Hamburg, Fruchtallee 22",64
120,krippe am lindenpark,"20259 Hamburg, Lindenallee 35","<a href=""../hamburg/20259/bellealliancestrasse28.php"" target=""_blank"" title=""Kita ansehen""><b>kinderladen libelle</b></a>"
121,kinderladen libelle,"20259 Hamburg, Bellealliancestrasse 28",25
122,kita 'lütte sternenkieker'  (emilienstraße),"20259 Hamburg, Emilienstraße 14a","<a href=""../hamburg/20259/henriettenstrasse22a.php"" target=""_blank"" title=""Kita ansehen""><b>montessori kinderhaus monaddrei (henriettenstraße)</b></a>"
123,montessori kinderhaus monaddrei (henriettenstraße),"20259 Hamburg, Henriettenstraße 22 a","<a href=""../hamburg/20259/eppendorferweg13.php"" target=""_blank"" title=""Kita ansehen""><b>kita pünktchens tintenklecks (eppendorfer weg)</b></a>"
124,kita pünktchens tintenklecks (eppendorfer weg),"20259 Hamburg, Eppendorfer Weg 13","<a href=""../hamburg/20259/eppendorferweg4-6.php"" target=""_blank"" title=""Kita ansehen""><b>kita schmuddelkinder 'kinderladen'</b></a>"
125,kita schmuddelkinder 'kinderladen',"20259 Hamburg, Eppendorfer Weg 4-6",48
126,kita zauberzeit,"20259 Hamburg, Eppendorfer Weg 12",14
127,kita zauberzeit 2,"20259 Hamburg, Eimsbütteler Chaussee 57",46
128,ev. kindertagesstätte hohe weide,"20259 Hamburg, Hohe Weide 17b",95
129,kinderzimmer conventparc,"20354 Hamburg, Amelungstraße 8",0
130,kita markusstraße,"20355 Hamburg, Markusstraße 10","<a href=""../hamburg/20355/jungiusstrasse6.php"" target=""_blank"" title=""Kita ansehen""><b>kindertagesstätte an der bucerius law school</b></a>"
131,kindertagesstätte an der bucerius law school,"20355 Hamburg, Jungiusstraße 6",40
132,kinderzimmer valentinshof,"20355 Hamburg, Caffamacherreihe 8","<a href=""../hamburg/20355/jungiusstrasse3.php"" target=""_blank"" title=""Kita ansehen""><b>kinderladen murmel e.v.</b></a>"
133,kinderladen murmel e.v.,"20355 Hamburg, Jungiusstraße 3",38
134,kita wolkenzwerge hamburg,"20355 Hamburg, Caffamacherreihe 1",50
135,asb kita augustenpassage,"20357 Hamburg, Augustenpassage 8",40
136,kita glashüttenstraße,"20357 Hamburg, Glashüttenstraße 81","<a href=""../hamburg/20357/karolinenstrasse35.php"" target=""_blank"" title=""Kita ansehen""><b>kita karolinenstraße</b></a>"
137,kita karolinenstraße,"20357 Hamburg, Karolinenstraße 35","<a href=""../hamburg/20357/lagerstrasse34a.php"" target=""_blank"" title=""Kita ansehen""><b>stiftung kindergärten finkenau `musikkindergarten´</b></a>"
138,stiftung kindergärten finkenau `musikkindergarten´,"20357 Hamburg, Lagerstraße 34a",120
139,baby-krippe am schlump,"20357 Hamburg, Schäferstraße 8",22
140,kita im mehrgenerationenhaus nachbarschatz,"20357 Hamburg, Amandastraße 58",60
141,kinderladen belle,"20357 Hamburg, Schäferstraße 22b",24
142,kinderhaus weidenallee,"20357 Hamburg, Weidenallee 22 a","<a href=""../hamburg/20357/weidenallee37.php"" target=""_blank"" title=""Kita ansehen""><b>kinderladen bambino</b></a>"
143,kinderladen bambino,"20357 Hamburg, Weidenallee 37",50
144,kinderladen zauberlinge,"20357 Hamburg, Margaretenstraße 36 a",21
145,kinderstube altona,"20357 Hamburg, Bartelsstraße 65",25
146,krippe fliegenpilze,"20357 Hamburg, Weidenallee 44","<a href=""../hamburg/20357/margaretenstrasse64.php"" target=""_blank"" title=""Kita ansehen""><b>kinderhaus margaretenstraße</b></a>"
147,kinderhaus margaretenstraße,"20357 Hamburg, Margaretenstraße 64",46
148,montessori kinderhaus monaddrei (schäferkampsallee),"20357 Hamburg, Schäferkampsallee 27",<br/>
149,kita millerntor,"20359 Hamburg, Heiligengeistfeld 2",100
150,ev. kindertagesheim st. pauli,"20359 Hamburg, Budapester Straße 34",97
151,kindertagesheim der st. pauli kirche,"20359 Hamburg, Lange Straße 6 a","<a href=""../hamburg/20359/seilerstrasse30.php"" target=""_blank"" title=""Kita ansehen""><b>stiftung kindergärten finkenau `krippe zapperlott´</b></a>"
152,stiftung kindergärten finkenau `krippe zapperlott´,"20359 Hamburg, Seilerstraße 30","<a href=""../hamburg/20359/simon-von-utrecht-strasse83.php"" target=""_blank"" title=""Kita ansehen""><b>stiftung kindergärten finkenau `zapperlott´</b></a>"
153,stiftung kindergärten finkenau `zapperlott´,"20359 Hamburg, Simon-Von-Utrecht-Straße 83","frühförderplätze, bewegung"
154,kinderland st. pauli,"20359 Hamburg, Simon-von-Utrecht-Straße 4c",50
155,kita lelka birnbaum,"20359 Hamburg, St. Pauli Hafenstraße 100","<a href=""../hamburg/20359/budapesterstrasse42.php"" target=""_blank"" title=""Kita ansehen""><b>kinderladen karolinenviertel</b></a>"
156,kinderladen karolinenviertel,"20359 Hamburg, Budapester Straße 42","<a href=""../hamburg/20359/zirkusweg2.php"" target=""_blank"" title=""Kita ansehen""><b>kinderzimmer astraturm</b></a>"
157,kinderzimmer astraturm,"20359 Hamburg, Zirkusweg 2",70
158,kinderladen mafalda,"20359 Hamburg, Budapester Straße 13",31
159,st. katharinen-kita in der hafencity,"20457 Hamburg, Am Dalmannkai 14","<a href=""../hamburg/20457/yokohamastrasse.php"" target=""_blank"" title=""Kita ansehen""><b>kinderzimmer lohsepark</b></a>"
160,kinderzimmer lohsepark,"20457 Hamburg, Yokohamastraße",120
161,companykids hafencity,"20457 Hamburg, Am Dalmannkai 14",12
162,ev. kita st. michaelis,"20459 Hamburg, Gerstäckerstraße 5","<a href=""../hamburg/20459/herrengraben26.php"" target=""_blank"" title=""Kita ansehen""><b>kita fleetpiraten</b></a>"
163,kita fleetpiraten,"20459 Hamburg, Herrengraben 26",56
164,kinderzimmer stubbenhuk,"20459 Hamburg, Stubbenhuk 9",100
165,companykids hamburg,"20459 Hamburg, Michaelisstraße 2",<br/>
166,kita hinrichsenstraße,"20535 Hamburg, Hinrichsenstraße 6 a",60
167,kita jordanstraße,"20535 Hamburg, Jordanstraße 26",88
168,kindertagesstätte dreifaltigkeitskirche,"20535 Hamburg, Bei der Hammer Kirche 18",140
169,kindertagesheim der ev.-luth. kirchengemeinde hamburg hamm pauluskirche,"20535 Hamburg, Caspar-Voght-Straße 55",65
170,ev. luth. kindertagesstätte borgfelde,"20535 Hamburg, Klaus-Groth-Straße 6","<a href=""../hamburg/20535/morahtstieg4.php"" target=""_blank"" title=""Kita ansehen""><b>villa sonnenschein  wichernkirche</b></a>"
171,villa sonnenschein  wichernkirche,"20535 Hamburg, Morahtstieg 4",72
172,kindertagesstätte bezirk simeonkirche,"20535 Hamburg, Sievekingsallee 12 a",60
173,"hammer strolche, kita der ev.-freikirchlichen gemeinde hamburg-hamm","20535 Hamburg, Sievekingsallee 77",46
174,kath. kita herz jesu,"20535 Hamburg, Bei der Hammer Kirche 10",70
175,kath. kindertagesstätte am marienkrankenhaus,"20535 Hamburg, Alfredstraße 38",25
176,kindergarten hort 1816 e.v.,"20535 Hamburg, Sievekingdamm 7",0
177,kita  aktiv,"20535 Hamburg, Carl-Petersenstraße 43",74
178,kita kinderburg,"20535 Hamburg, Bethesdastraße 40","<a href=""../hamburg/20535/hinrichsenstrasse35.php"" target=""_blank"" title=""Kita ansehen""><b>kinderkrippe mamamia (pas)</b></a>"
179,kinderkrippe mamamia (pas),"20535 Hamburg, Hinrichsenstraße 35",<br/>
180,kita osterbrook,"20537 Hamburg, Osterbrook 49","<a href=""../hamburg/20537/droopweg31.php"" target=""_blank"" title=""Kita ansehen""><b>kita droopweg</b></a>"
181,kita droopweg,"20537 Hamburg, Droopweg 31",110
182,kita in der schule osterbrook,"20537 Hamburg, Osterbrook 17","<a href=""../hamburg/20537/luisenweg10.php"" target=""_blank"" title=""Kita ansehen""><b>kita kinderschlupf</b></a>"
183,kita kinderschlupf,"20537 Hamburg, Luisenweg 10","<a href=""../hamburg/20537/hammerlandstrasse84.php"" target=""_blank"" title=""Kita ansehen""><b>kita wunderkabinett (krippe)</b></a>"
184,kita wunderkabinett (krippe),"20537 Hamburg, Hammer Landstraße 84","<a href=""../hamburg/20537/hammerlandstrasse124.php"" target=""_blank"" title=""Kita ansehen""><b>kita wunderkabinett (elementar)</b></a>"
185,kita wunderkabinett (elementar),"20537 Hamburg, Hammer Landstraße 124",<br/>
186,kita marckmannstraße,"20539 Hamburg, Marckmannstraße 100","<a href=""../hamburg/20539/uffelnsweg1.php"" target=""_blank"" title=""Kita ansehen""><b>kita uffelnsweg</b></a>"
187,kita uffelnsweg,"20539 Hamburg, Uffelnsweg 1","<a href=""../hamburg/20539/wilhelmsburgerstrasse71.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesheim veddel</b></a>"
188,ev. kindertagesheim veddel,"20539 Hamburg, Wilhelmsburger Straße 71",80
189,stiftung kindergärten finkenau `sonnenschein´,"20539 Hamburg, Bullenhuser Damm 92",100
190,stiftung kindergärten finkenau `sonnenschein 2´,"20539 Hamburg, Lindleystraße 2",60
191,spielhaus katenweide,"20539 Hamburg, Katenweide 8a","<a href=""../hamburg/20539/ausschlaegerelbdeich1b.php"" target=""_blank"" title=""Kita ansehen""><b>spielhaus traunspark</b></a>"
192,spielhaus traunspark,"20539 Hamburg, Ausschläger Elbdeich 1b","<a href=""../hamburg/20539/vierlaenderdamm86.php"" target=""_blank"" title=""Kita ansehen""><b>kita vierländer</b></a>"
193,kita vierländer,"20539 Hamburg, Vierländer Damm 86",30
194,integratives kinderhaus kunterbunt,"21029 Hamburg, Wentorfer Str. 66",36
195,awo wald- kita bergedorf,"21029 Hamburg, Rothenhauschaussee 235 b",44
196,kita august-bebel-straße,"21029 Hamburg, August-Bebel-Straße 15","<a href=""../hamburg/21029/bergedorferschlossstrasse5.php"" target=""_blank"" title=""Kita ansehen""><b>evangelisch-lutherische kirchengemeinde st. petri und pauli zu bergedorf</b></a>"
197,evangelisch-lutherische kirchengemeinde st. petri und pauli zu bergedorf,"21029 Hamburg, Bergedorfer Schloßstraße 5","<a href=""../hamburg/21029/gojenbergsweg26.php"" target=""_blank"" title=""Kita ansehen""><b>ev. kindertagesstätte st. michael</b></a>"
198,ev. kindertagesstätte st. michael,"21029 Hamburg, Gojenbergsweg 26",66
199,montessori kinderhaus bergedorf e.v.,"21029 Hamburg, August-Bebel-Straße 200",53
200,kindertagesstätte neuer mohnhof,"21029 Hamburg, Hinterm Graben 37",180
201,waldorfkindergarten bergedorf - brookkehre,"21029 Hamburg, Brookkehre 12","<a href=""../hamburg/21029/august-bebel-strasse155.php"" target=""_blank"" title=""Kita ansehen""><b>bergedorfer krabbelkiste</b></a>"
202,bergedorfer krabbelkiste,"21029 Hamburg, August-Bebel-Straße 155",13
203,kita mäuseburg,"21029 Hamburg, Wentorfer Straße 66",24
204,kindertagesstätte schulenbrook,"21029 Hamburg, Justus-Brinkmann-Straße 62",34
205,kita habermannstraße,"21031 Hamburg, Habermannstraße 11","<a href=""../hamburg/21031/harnackring64b.php"" target=""_blank"" title=""Kita ansehen""><b>kita harnackring</b></a>"
206,kita harnackring,"21031 Hamburg, Harnackring 64 b","<a href=""../hamburg/21031/kurt-adams-platz3.php"" target=""_blank"" title=""Kita ansehen""><b>kita kurt-adams-platz</b></a>"
207,kita kurt-adams-platz,"21031 Hamburg, Kurt-Adams-Platz 3","<a href=""../hamburg/21031/mendelstrasse39a.php"" target=""_blank"" title=""Kita ansehen""><b>kita mendelstraße</b></a>"
208,kita mendelstraße,"21031 Hamburg, Mendelstraße 39 a",44
209,kita schulenburgring,"21031 Hamburg, Schulenburgring 156","<a href=""../hamburg/21031/bornbrook15.php"" target=""_blank"" title=""Kita ansehen""><b>kita wackelzahn</b></a>"
210,kita wackelzahn,"21031 Hamburg, Bornbrook 15",90
211,kita `das spielnetz´,"21031 Hamburg, Bockhorster Weg 3","<a href=""../hamburg/21031/kurt-adams-platz7.php"" target=""_blank"" title=""Kita ansehen""><b>spielhaus kurt-adams-platz</b></a>"
212,spielhaus kurt-adams-platz,"21031 Hamburg, Kurt-Adams-Platz 7","<a href=""../hamburg/21031/lohbrueggerlandstrasse55.php"" target=""_blank"" title=""Kita ansehen""><b>spielhaus lohbrügger landstraße</b></a>"
213,spielhaus lohbrügger landstraße,"21031 Hamburg, Lohbrügger Landstraße 55",0
214,kindertagesstätte `regenbogen´,"21031 Hamburg, Röpraredder 70",130
215,kindertagesstätte `leuchtkäfer´,"21031 Hamburg, Ludwig-Rosenberg-Ring 45",64
216,awo kita billwerder straße,"21033 Hamburg, Billwerder Straße 39 a",44
217,kita friedrich-frank-bogen,"21033 Hamburg, Friedrich-Frank-Bogen 29","<a href=""../hamburg/21033/lohbrueggerkirchstrasse15.php"" target=""_blank"" title=""Kita ansehen""><b>kita lohbrügger kirchstraße</b></a>"
218,kita lohbrügger kirchstraße,"21033 Hamburg, Lohbrügger Kirchstraße 15","<a href=""../hamburg/21033/weidemoor1.php"" target=""_blank"" title=""Kita ansehen""><b>kita weidemoor</b></a>"
219,kita weidemoor,"21033 Hamburg, Weidemoor 1","<a href=""../hamburg/21033/friedrich-frank-bogen25a.php"" target=""_blank"" title=""Kita ansehen""><b>spielhaus friedrich-frank-bogen</b></a>"
220,spielhaus friedrich-frank-bogen,"21033 Hamburg, Friedrich-Frank-Bogen 25a","<a href=""../hamburg/21033/bergedorferstrasse10.php"" target=""_blank"" title=""Kita ansehen""><b>kita löwenzahn am unfallkrankenhaus hamburg</b></a>"
221,kita löwenzahn am unfallkrankenhaus hamburg,"21033 Hamburg, Bergedorfer Straße 10",75
