,kita_name,kita_address,kita_spots
83,sol e.v.,"10245 Berlin, Dirschauerstraße 13",0
84,bilinguale kita stralauer 6,"10245 Berlin, Stralauer Allee 6",35
85,humanistische kita bahrfeldtstraße,"10245 Berlin, Bahrfeldtstraße 9-10",95
86,kita 'am rudolfplatz' der jao ggmbh,"10245 Berlin, Rudolfstraße 14b",160
87,kila rabenkinder,"10245 Berlin, Simplonstraße 52",25
88,kita nella propella,"10245 Berlin, Seumestraße 31",27
89,t.e.k. - kinderladen gryphillo,"10245 Berlin, Gryphiusstr. 21",20
90,glückskinder,"10245 Berlin, Stralauer Allee 18",35
91,klein im hain,"10245 Berlin, Am Rudolfplatz 5",32
92,rabbit street,"10245 Berlin, Haasestr. 9",24
93,kinderhafen spreeräuber,"10245 Berlin, Am Speicher 6",22
94,kita klainohrhaase,"10245 Berlin, Haasestr. 14",25
95,evangelische kita sonnenblume,"10245 Berlin, Niemannstraße 1",100
96,ktp spreemücken,"10245 Berlin, Stralauer Allee 17c",10
97,kita krikelkrake,"10245 Berlin, Dannecker Straße 8",15
98,kila friedrichsklain,"10247 Berlin, Oderstraße 34",25
99,frÖbel-kindergarten „kleiner muck“,"10247 Berlin, Rigaer Straße 53",115
100,"frÖbel-kindergarten ""kieke mal""","10247 Berlin, Rigaer Str. 54",120
101,klax-kindergarten 'elements',"10247 Berlin, Eldenaer Str. 46",70
102,kinderladen nido,"10247 Berlin, Jungstraße 15 - 17",30
103,spieltraum friedrichshain i,"10247 Berlin, Kinzigstraße 11",23
104,klein und stark,"10247 Berlin, Eldenaerstraße 13","integration, waldpädagogik, bewegung und natur"
105,kindergarten bänschstr. 76/78,"10247 Berlin, Bänschstr. 76/78",190
106,kindergarten 'la sonrisa ggmbh',"10247 Berlin, Jessner Str. 37",30
107,kinderladen buana e.v.,"10247 Berlin, Schreinerstraße 19",20
108,tholp kinderbetreuung,"10247 Berlin, Travestr. 2",20
109,klax-kindergarten 'hexenkleckshausen',"10247 Berlin, Eldenaer Str.46","<a href=""../berlin/10247/kinderbuero.php"" target=""_blank"" title=""Kita ansehen""><b>kinderbüro e.v.</b></a>"
110,kinderbüro e.v.,"10247 Berlin, Scharnweberstr. 33",20
111,kiternelle p'tits loups,"10247 Berlin, Eldenaer Str. 44",30
112,kindergarten kinzigstr. 32,"10247 Berlin, Kinzigstr. 32",129
113,humanistische kita hopsekäse,"10247 Berlin, Scharnweberstr. 60",80
114,oxxymoron ggmbh colbestraße 9-13,"10247 Berlin, Colbestraße 9-13",70
115,el jardín de federico,"10247 Berlin, Rigaer Str. 79",36
116,kita weidenkätzchen,"10247 Berlin, Weidenweg 68",bilinguale erziehung (deutsch-spanisch)
117,kita müggelstraße,"10247 Berlin, Müggelstraße 19 / 20",73
118,kita colbe,"10247 Berlin, Colbestraße 9",60
119,kita lieblingsplatz,"10247 Berlin, Travestraße 3",25
120,kindergarten la sonrisa,"10247 Berlin, Rigaer Str. 4",26
121,musikkita,"10247 Berlin, Bänschstraße 88",25
122,klax kinderkrippen sonnenkäfer und mondbär,"10247 Berlin, Eldenaer Straße 36","klax pädagogik, lernen mit zielen, portfolioarbeit"
123,kita scharnweberstraße,"10247 Berlin, Scharnweberstraße 23",50
124,die kinderstube,"10247 Berlin, Jungstrasse 9a",10
125,kita mumpelmonster,"10247 Berlin, Voigtstraße 26",17
126,musikkita 'klimperkiste',"10247 Berlin, Bänschstraße 12",25
127,evangelische kita galiläa,"10247 Berlin, Rigaer Straße 9",32
128,evangelische kita regenbogenfisch,"10247 Berlin, Scharnweberstraße 61",75
129,evangelische kita samariter,"10247 Berlin, Samariterstraße 27",32
130,kinderladen fuchsbau e.v.,"10247 Berlin, Dolziger Str. 39",19
131,kita tausendfüßchen,"10247 Berlin, Liebigstraße 30/ 31",0
132,kita wichtelbühne,"10247 Berlin, Weidenweg 78/ Liebigstr. 29",165
133,pinjepako e.v.,"10249 Berlin, Straßmannstr.28",18
134,kita der ev. kirchengem. bartholomäus,"10249 Berlin, Friedenstr. 001",64
135,kita hausburg,"10249 Berlin, Thaerstr 28b",23
136,kita im friedrichshain,"10249 Berlin, Landsberger Allee 49",43
137,kindersportstudio im sez - kita,"10249 Berlin, Landsberger Allee 077",16
138,bik e. v. kita 'buddelflink / gänseblümchen',"10249 Berlin, Richard-Sorge-Str. 43/44",148
139,integrationskita 'hör höchste',"10249 Berlin, Höchste Straße 11",229
140,'die schlauen mäuschen',"10249 Berlin, Eckertstrasse 17",25
141,das spielatelier,"10249 Berlin, Barnimstr. 38",25
142,kita sternchen,"10249 Berlin, Thaerstraße 30 A",25
143,pipilota,"10249 Berlin, Ebertystr. 43",bilinguale kindertagesstätte spanisch / deutsch
144,spieltraum friedrichshain ii,"10249 Berlin, Hausburgstraße 12",25
145,kita der ev. kirchengem. auferstehung,"10249 Berlin, Diestelmeyerstr. 007",37
146,ekt 'kleine fische e.v.',"10249 Berlin, Ebertystr. 7",25
147,frÖbel-kindergarten „kleine füße - naseweis“,"10249 Berlin, Auerstraße 13-17",200
148,be smart academy ggmbh,"10249 Berlin, Thaerstr. 31",94
149,kita sonnenhof,"10315 Berlin, Archenholdstr. 72",42
150,kindergarten frohsinn,"10315 Berlin, Rosenfelder Ring 35/35a",180
151,"kita ""die brücke""","10315 Berlin, Gensinger Str. 58",180
152,kita glückspilze,"10315 Berlin, Alfred-Kowalke-Str.40a",30
153,kita glückspilze,"10315 Berlin, Archenholdstr. 29",28
154,kindertagesstätte ' purzelbaum',"10315 Berlin, Massower Strasse 21 / 23",205
155,kita erlenhof,"10315 Berlin, Kraetkestr. 18",51
156,lucecitas,"10315 Berlin, Marie-Curie-Allee 4",25
157,die vitalen großstadtmäuse i,"10315 Berlin, Rummelsburgerstraße 61",80
158,citykids berlin,"10315 Berlin, Gensinger Straße 60",150
159,kita der ev. kirchengem.paul-gerhardt-lichtenbg,"10317 Berlin, Nöldnerstr. 043",47
160,kita hoppetosse,"10317 Berlin, Hauptstr. 6 T",97
161,waldorfkindergarteninitiative sonnenbogen,"10317 Berlin, Pfarrstr. 101",27
162,ekt kinderleben,"10317 Berlin, Kaskelstr. 41",20
163,citykids berlin gmbh,"10317 Berlin, Eitelstraße 16","<a href=""../berlin/10317/sophienstr8.php"" target=""_blank"" title=""Kita ansehen""><b>spieltraum lichtenberg</b></a>"
164,spieltraum lichtenberg,"10317 Berlin, Sophienstr. 8",25
165,elterninitiative großstadtindianer e.v.,"10317 Berlin, Türrschmidtstraße 33",30
166,kindergarten sonnenblume wönnichstraße,"10317 Berlin, Wönnichstrasse 60",75
167,kita sozialdiak. jugendarbeit lichtenbg e.v.,"10317 Berlin, Pfarrstr. 091",140
168,kita sophies welt,"10317 Berlin, Eitelstr. 20",107
169,kita fine turbine,"10317 Berlin, Spittastr. 1",28
170,kita gisela,"10317 Berlin, Giselastraße 26",35
171,kita waschbär,"10317 Berlin, Georg-Löwensteinstraße 22",75
172,kita victoria,"10317 Berlin, Kaskelstraße 3",70
173,kinderladen milchzahnbande,"10317 Berlin, Stadthausstraße 3",25
174,evangelischer kindergarten morgensonne,"10318 Berlin, Lehndorffstr. 11-15",48
175,kreativitätskindertagesstätte minimax,"10318 Berlin, Sadowastraße 16",30
176,kita zwergenland / -ejf- e.v.,"10318 Berlin, Hönower Str. 031",264
177,kita der evangelischen kirchengemeinde paul-gerhardt,"10318 Berlin, Sinziger Str. 4",45
178,kindergarten römerweg,"10318 Berlin, Römerweg 106/112",150
179,kreativitätskindertagesstätte minimax,"10318 Berlin, Tannhäuserstraße 4a",70
180,kindergarten-verbund spatzentrio,"10318 Berlin, Stechlinstr. 26",135
181,kita quatschköpfe,"10318 Berlin, Ehrlichstraße 21",25
182,ekt - das tapfere schneiderlein e.v.,"10318 Berlin, Hentigstr. 016",56
183,kita 'kleine wichtel',"10318 Berlin, Marksburgstraße 38/40",134
184,kindergarten-verbund spatzentrio,"10318 Berlin, Wildensteiner Str. 31/33",selbstständige bewegungentwicklung nach emmi pikler
185,kindergarten-verbund spatzentrio,"10318 Berlin, Heiligenberger Str. 19","<a href=""../berlin/10318/treskowallee22.php"" target=""_blank"" title=""Kita ansehen""><b>bip kreativitätskita treskow-höfe</b></a>"
186,bip kreativitätskita treskow-höfe,"10318 Berlin, Treskowallee 22-24",96
187,kita pepe rakete,"10318 Berlin, Ehrenfelsstraße 9-10",30
188,kita villa pixie,"10318 Berlin, Weselerstrasse 9",30
189,kita pinocchio,"10319 Berlin, Baikalstr. 2",75
190,kindergarten erlebniswelt,"10319 Berlin, Sewanstr. 197-199",170
191,eene meene mopelladen,"10319 Berlin, Sewanstr. 120",47
192,kita kikiflo,"10319 Berlin, Volkradstraße 4",85
193,bik e.v. kita 'krokofant',"10319 Berlin, Mellenseestr. 65/66",166
194,kindertagesstätte 'balatonknirpse',"10319 Berlin, Balatonstr. 9",90
195,kindertagesstätte zwergenbewegung berlin,"10319 Berlin, Dolgenseestrasse 41",10
196,kita der kath. kirchengem. st. mauritius,"10365 Berlin, John-Sieg-Str. 007",70
197,ev. diakoniewerk königin elisabeth,"10365 Berlin, Herzbergstr. 079",150
198,kreativitätskindertagesstätte eigensinn,"10365 Berlin, Rüdigerstraße 76",70
199,kita abenteuerwelt,"10365 Berlin, Schulze-Boysen-Str. 22-24",200
200,evangelische kita alt-lichtenberg,"10365 Berlin, Schottstraße 6",60
201,kindergarten the animal house - das tierhäuschen,"10365 Berlin, Harnackstr. 7-9",180
202,kita zauberwald,"10365 Berlin, Bürgerheimstr. 23",25
203,kita 'singemäuse',"10365 Berlin, Gotlindestr. 36/37",181
204,kindertagesstätte 'bunte plonzstifte',"10365 Berlin, Plonzstraße 22",180
205,kita „zauberinsel“,"10365 Berlin, Bürgerheimstr. 25",25
206,kita sonnengarten,"10367 Berlin, Rudolf-Reusch-Str. 57",65
207,deutsch-russische kita rübchen,"10367 Berlin, Möllendorffstraße 49",30
208,kita märchenland,"10367 Berlin, Paul-Junius-Str. 64A",75
209,kita 'zwergenparadies',"10367 Berlin, Bernhard - Bästlein - Straße 44/46",130
210,kita 'zaubertal',"10367 Berlin, Scheffelstraße 10",25
211,kita wunderkinder,"10367 Berlin, Paul-Zobel-Straße 9/10",150
212,kindertagesstätte 'paule platsch',"10367 Berlin, Bernhard Bästlein Str. 52/54",170
213,rappelkiste des medisport e.v.,"10369 Berlin, Herbert-Tschäpe-Strasse 2",40
214,bik e. v. kita 'entdeckeland',"10369 Berlin, Otto-Marquardt-Str. 2-4",181
215,rappelkiste - medisport e.v.,"10369 Berlin, Herbert-Tschäpe-Strasse 2",40
216,kindergarten spatzennest paul-junius-straße,"10369 Berlin, Paul-Junius-Str. 32/34",180
217,kita 'an der alten kastanie',"10369 Berlin, Franz-Jacob-Str. 16-18",102
218,christliche kita fischlein,"10369 Berlin, Rudolf-Seiffert-Straße 53",25
219,kita sternenwiese,"10405 Berlin, Chodowieckistraße 02",23
220,russisch-deutsche kita bienchen prenzlauer berg,"10405 Berlin, Immanuelkirchstr. 14 B",50
221,kita der ev. kirchengem. immanuel,"10405 Berlin, Immanuelkirchstr. 1A",45
222,kindergarten zwergenhausen,"10405 Berlin, Jablonskistr. 33",190
223,kindergarten räuberbande,"10405 Berlin, Ella-Kay-Str. 6",35
224,prenzelberger schwalbennest,"10405 Berlin, Diesterwegstrasse 10",180
225,kita glühwürmchen e. v.,"10405 Berlin, Winsstraße 2",19
226,kita remmi-demmi im ernst-thälmann-park,"10405 Berlin, Ella-Kay-Str. 36",25
227,kindergarten am wasserturm,"10405 Berlin, Knaackstr. 27",70
228,evangelische kindertagesstätte winsstraße,"10405 Berlin, Winsstr. 24",50
229,kitanelle coccinelle e.v.,"10405 Berlin, Winsstr, 69A",23
230,kita secret garden (waldorforientierte elterninitiative),"10405 Berlin, Saarbrücker 15",16
231,ekt obst + gemüse e.v.,"10405 Berlin, Christburger Str. 41",30
232,zwergenbaude e.v. i u. ii,"10405 Berlin, Chodowieckistr. 35",36
233,kinderkrippe erich-weinert-strasse 33,"10405 Berlin, Erich-Weinert-Strasse 33",48
234,kita 'kleine kobolde',"10405 Berlin, Jablonskistraße 24",22
235,ina.kinder.garten prenzlauer berg,"10405 Berlin, Prenzlauer Berg 15/16",180
236,kita 'los treinta lobitos',"10405 Berlin, Kollwitzstraße 16",32
237,christburg-kita,"10405 Berlin, Christburger Straße 13",16
238,berliner kindheit,"10405 Berlin, Immanuelkirchstr. 14 B/C",52
239,kita cheburashka winsviertel,"10405 Berlin, Jablonskistr. 35",20
240,ekt 'der hummer aus toronto',"10405 Berlin, Heinrich-Roller Str. 20",33
241,kita unterm regenschirm,"10405 Berlin, Danziger Straße 73",42
242,kita 'kolle',"10405 Berlin, Kolmarer Straße 6",25
243,kita sturmtüten,"10407 Berlin, Pasteurstr. 38",25
244,kita kleine tüftler,"10407 Berlin, Bötzowstr. 6",20
245,kita der kirchengemeinde ss. corpus christi,"10407 Berlin, Conrad-Blenkle-Str. 64",60
246,integrationskindergarten miteinander,"10407 Berlin, Syringenweg 22/23/25",120
247,ekt bötzowstrolche e.v.,"10407 Berlin, Esmarchstrasse 24",18
248,kindergarten sonnenmäuse,"10407 Berlin, Conrad-Blenkle-Str. 46",165
249,bambini oase,"10407 Berlin, Hans-Otto-Str.40a/b",71
250,trilinguale kita cheburashka,"10407 Berlin, Bernhard-Lichtenberg-Str. 9-10",60
251,kinderladen mucklas e.v.,"10407 Berlin, Esmarchstr. 15",24
252,kindergarten am hain,"10407 Berlin, Am Friedrichshain 18a",80
253,ekt elfenland e.v.,"10407 Berlin, Pasteurstraße 15",24
254,kindergarten käthe,"10407 Berlin, Käthe-Niederkirchner-Straße 29",53
255,kindergarten sonnenhügel,"10407 Berlin, John-Schehr-Straße 35",200
256,theaterspielkita capriola,"10407 Berlin, Hufelandstr 32",27
257,ekt schnick & schnack,"10407 Berlin, Pasteurstraße 5",20
258,mascha und der bär,"10407 Berlin, Bötzowstraße 49",25
259,ina.kinder.garten preußstraße,"10409 Berlin, Preußstraße 5/6",185
260,kita dreikäsehoch,"10409 Berlin, Mandelstr. 13",84
261,schülerladen - freies lernen berlin e.v.,"10409 Berlin, Thomas-Mann-Str. 065",30
262,kita bewegungsreich,"10409 Berlin, Hanns-Eisler-Straße 82/84",130
263,kindergarten sonnenblume pieskower weg,"10409 Berlin, Pieskower Weg 48+50",135
264,kita des humanistischen verbandes deutschland,"10409 Berlin, Thomas-Mann-Str. 17",120
265,kita 'raupe nimmersatt' der jao ggmbh,"10409 Berlin, Gürtelstr. 25",60
266,kindergarten milchzahnbande,"10409 Berlin, Prenzlauer Allee 115/116",120
267,kita wirbelwind,"10409 Berlin, Mandelstraße 15",70
268,kinderladen mooswuffel,"10409 Berlin, Naugarder Str.16",23
269,ekt - quasselstrippe e.v.,"10435 Berlin, Oderberger Str. 50",24
270,kinderladen tütata,"10435 Berlin, Oderberger Straße 27",21
271,ekt - kita kinder sorpresa (e.v.),"10435 Berlin, Schwedter Str. 29",18
272,wald und wiesen e.v.,"10435 Berlin, Husemannstr. 12",33
273,kindergarten fürstenberger str. 4,"10435 Berlin, Fürstenberger Str. 4",180
274,kindergarten kolleknirpse,"10435 Berlin, Kollwitzstr. 60",61
275,kindergarten tigerenten,"10435 Berlin, Schönhauser Allee 165",70
276,kinderladen rosenthaler vorstadt ev.,"10435 Berlin, Wolliner Straße 60 / Ecke Arkonaplatz",18
277,ekt - erdnuckel e.v.,"10435 Berlin, Choriner Str. 30",16
278,evangelische kita zion,"10435 Berlin, Griebenowstraße 16",85
279, tägliche kinderbetreuung  vogelnest,"10437 Berlin, Gaudystr. 026",10
280,kita der ev. kirchengem. gethsemane,"10437 Berlin, Greifenhagener Str. 2",63
281,kinderladen kindertraum,"10437 Berlin, Dunckerstraße 25",17
282,kila josephine (ekt josephine e.v.),"10437 Berlin, Kopenhagener Straße 65",26
283,eik villa kunterbunt,"10437 Berlin, Dunckerstr. 21",26
284,kita folli folletti,"10437 Berlin, Cantianstraße 15",20
285,kinderwirtschaft,"10437 Berlin, Ahlbecker Straße 11a",23
286,evangelische kita elias,"10437 Berlin, Göhrener Str. 11",42
287,kita sehsterntaler,"10437 Berlin, Greifenhagener Str. 33",25
288,zebra international kindergarten e.v.,"10437 Berlin, Sonnenburgerstraße 54",deutsch-englischer elterninitiativ-kindergarten
289,kita billabong,"10437 Berlin, Greifenhagener Str. 14",20
290,bazuba kaminka,"10437 Berlin, Dunckerstraße 77",40
291,kita berliner pandabären,"10437 Berlin, Schliemannstraße 42",25
292,kita mauerschwalben,"10437 Berlin, Gleimstr. 58",27
293,ekt - grashüpfer e.v.,"10437 Berlin, Gaudystr. 9",18
294,kinderladen mischpoke e.v.,"10437 Berlin, Lychener Straße 76",30
295,kindergarten prenzlberger spielmäuse,"10437 Berlin, Pappelallee 41",200
296,kita 'remmi demmi' greifenhagener straße,"10437 Berlin, Greifenhagener Str. 29",25
297,spaceys kinderladen,"10437 Berlin, Greifenhagener Str. 35",25
298,kindergarten am hirschhof,"10437 Berlin, Eberswalder Strasse 11/12",95
299,pauline kirschkern,"10437 Berlin, Stargarderstr.19",32
300,deutsch-spanischer kinderladen 'uno dos tres' e.v.,"10437 Berlin, Gleimstraße 56",22
301,kita kritzelknirpse,"10437 Berlin, Lychener Straße 55-58",135
302,schaukelpferd,"10437 Berlin, Schliemannstr. 47",25
303,deutsch-chinesische kita,"10437 Berlin, Dunckerstr. 90a",27
304,integrationskita pustekuchen e.v.,"10437 Berlin, Sonnenburger Str. 57",24
305,deutsch-französiche kita domino e.v.,"10437 Berlin, Lychener Str. 21",29
306,ekt prenzlpanther e.v.,"10437 Berlin, Schliemannstr. 44",17
307,räuberhöhle,"10437 Berlin, Kopenhagener Str.39",18
308,kita  die wilden küken,"10437 Berlin, Gleimstr. 13",22
309,kita edgar berlin,"10437 Berlin, Korsörer Strasse 19",20
310,ekt hoppetosse e.v.,"10437 Berlin, Lychener Str. 66",23
311,kita gleimstraße haus 1,"10437 Berlin, Gleimstraße 46",120
312,kita gleimstraße haus 2,"10437 Berlin, Gleimstraße 46",95
313,ekt 10-vorne e.v.,"10437 Berlin, Schliemannstraße 33",23
314,aramsamsam berlin e.v.,"10437 Berlin, Stargarder Strasse 62",25
315,kleine kumpel,"10437 Berlin, Kopenhagener Str. 4",5
316,kita 'zum klingenden bäumchen' der jao ggmbh,"10439 Berlin, Dänenstraße 8",55
317,evangelische kindertagesstätte arche,"10439 Berlin, Schönhauser Allee 104",35
318,die kleinen pankgrafen,"10439 Berlin, Kanzowstraße 1",15
319,kinderladen 'kribbel krabbel',"10439 Berlin, Dänenstraße 4",20
320,klax-kindergarten sternschnuppenhaus,"10439 Berlin, Scherenbergstr. 1",62
321,kita der kath. kirchengem. heilige familie,"10439 Berlin, Kuglerstr. 040",100
322,ekt pida e.v.,"10439 Berlin, Paul-Robeson-Str. 30",30
323,kinderladen bullerbü e.v.,"10439 Berlin, Schivelbeiner Straße 43/44",20
324,kita der kath. kirchengem. st. augustinus,"10439 Berlin, Dänenstr. 17/18",45
325,gerne groß,"10439 Berlin, Dänenstr. 22",45
326,frÖbel-kindergarten „wuselwiese“,"10439 Berlin, Schönfließer Str. 8",42
327,humanistische kita prenzl`zwerge,"10439 Berlin, Stahlheimer Str. 27",120
328,kita 'drieselmäuse',"10439 Berlin, Driesener Str. 24",65
329,kindergarten schivelbeiner straße,"10439 Berlin, Schivelbeiner Str. 12",195
330,kita villa schabernack,"10439 Berlin, Stavanger Straße 6-8",150
331,berlin kids international kita,"10439 Berlin, Wichertstraße 25",84
332,kita drachenhöhle,"10439 Berlin, Gudvangerstr. 12",25
333,libelle e. v.,"10439 Berlin, Erich-Weinert-Str. 64",22
334,klax-kindergarten 'wirbelwind',"10439 Berlin, Scherenbergstr. 1",63
335,kita tegner-strolche,"10439 Berlin, Tegnerstraße 1",25
336,freche fledermäuse - netopyrci,"10439 Berlin, Wichertstraße 57",22
337,kita freche früchtchen,"10439 Berlin, Paul-Robeson-Straße 12",60
338,pünktchen und paul,"10439 Berlin, Paul-Robeson-Straße 8",25
339,Ökologischer kinderladen kinderland der träume,"10439 Berlin, Andersenstr. 3",<br/>
340,ekt - der kick - initiative im kiez e.v.,"10551 Berlin, Birkenstr. 33",15
341,olle burg e.v. - anerkannter der freien jugendhilfe,"10551 Berlin, Waldstr. 42",24
342,ekt - kinderstuben e.v.,"10551 Berlin, Oldenburger Str. 023",14
343,kita fantasia,"10551 Berlin, Bredowstr.27A",130
344,ekt - alibaba e.v.,"10551 Berlin, Waldstraße 15",13
345,kita swimmy,"10551 Berlin, Siemensstr. 10",25
346,ekt - drunter und drüber e.v.,"10551 Berlin, Stromstraße 58",18
347,kindergarten emdener str. 11 - 13,"10551 Berlin, Emdener Str. 11 - 13",185
348,ekt - frecher spatz e.v. (schülerladen),"10551 Berlin, Oldenburger Str. 005",18
349,ekg - wilhelmshavener str. 22,"10551 Berlin, Wilhelmshavener Str. 022",15
350,kita moa,"10551 Berlin, Emdenerstr.28",40
351,päd. arbeitskollektiv e. v.,"10551 Berlin, Emdener Str. 47 , Hinterhof",15
352,kita 'arche moabit e.v'- charlottenburg,"10553 Berlin, Huttenstr. 31",28
